,pre_kind_of_movies,pre_favorite_movies,pre_favorite_actors,pre_favorite_directors,blue_recommend_,blue_preference,blue_consistent,blue_natural,blue_engaging,blue_persuasive,blue_sociable,blue_boring,cyan_recommend_,cyan_preference,cyan_consistent,cyan_natural,cyan_engaging,cyan_persuasive,cyan_sociable,cyan_boring,yellow_recommend_,yellow_preference,yellow_consistent,yellow_natural,yellow_engaging,yellow_persuasive,yellow_sociable,yellow_boring,green_recommend_,green_preference,green_consistent,green_natural,green_engaging,green_persuasive,green_sociable,green_boring,red_recommend_,red_preference,red_consistent,red_natural,red_engaging,red_persuasive,red_sociable,red_boring,survey_4_kind_of_movies,worker_id,blue_length,cyan_length,yellow_length,green_length,red_length
88,"['Comedy movies', 'Drama movies']",Titanic,Leonardo Dicaprio,Christ Columbus,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,3,4,3,3,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,4,5,5,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,3,3,4,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,2,2,3,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,4,3,5,1,"['Drama movies', 'Comedy movies']",A3C8JI69WPTKWH,14,16,19,13,17
89,['Action movies'],DEEP BLUE SEA,ARNOLD,JAMES WILSON,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,4,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,3,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,3,['Action'],A17GHP8L89ZSD5,5,6,6,6,4
90,"['Action movies', 'Horror movies', 'Comedy movies']",Die Hard,Tom Hanks,Steven Spielberg,No,Blue Bot didn't recommend a movie.,3,3,3,3,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,5,3,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,4,5,4,5,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,2,1,2,2,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,4,4,5,2,"['Action', 'Horror movies', 'Comedy movies']",A2LV5432PV1S39,1,8,12,8,15
91,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Sci-fi movies']",The Exorcist,Christian Bale,Akira Kurosawa,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,4,3,3,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,2,3,3,3,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,3,3,3,2,No,Red Bot didn't recommend a movie.,2,2,3,3,3,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Sci-fi movies']",A33DJF06UZXG3Y,1,16,11,14,18
92,"['Action movies', 'Mystery movies', 'Comedy movies', 'Sci-fi movies', 'Drama movies']",the machinist,brad pitt,steven spielberg,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,1,1,2,2,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,1,2,2,1,3,4,"['Action', 'Comedy movies', 'Mystery movies', 'Sci-fi movies', 'Drama movies']",A8C3WNWRBWUXO,1,22,20,8,15
93,['Comedy movies'],Sleepless in Seattle,Robin Williams,Ron Howard,No,Blue Bot didn't recommend a movie.,3,3,3,3,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,2,2,1,2,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,3,4,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,['Comedy movies'],A1ROEDVMTO9Y3X,1,7,13,6,9
94,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']","Armaggedeon, Die Hard, The Matrix.",Bruce Willis,Steve Spielberg,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,3,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,3,3,3,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,2,2,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,2,2,3,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A3NN2AK1DFDNDU,1,8,5,12,10
95,"['Sci-fi movies', 'Documentary movies']",Star trek first contact,Patrick Stewart,J.J. Abrams,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,5,4,4,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,3,2,5,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,1,2,1,3,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,3,3,2,4,2,"['Sci-fi movies', 'Documentary movies']",ASVRLMDNQBUD9,1,21,10,8,13
96,['Documentary movies'],i really like,good,nothing,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,5,5,4,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,4,3,2,4,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,2,3,1,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,5,4,4,4,3,"['Horror movies', 'Mystery movies', 'Action', 'Comedy movies', 'Sci-fi movies', 'Documentary movies', 'Drama movies']",A2QZU6VOIL30J3,1,11,10,6,14
97,"['Action movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",Love & Basketball,Loretta Devine ,John Singleton ,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,3,3,3,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,5,3,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,3,2,1,4,2,"['Comedy movies', 'Drama movies', 'Action']",A10249252O9I20MRSOBVF,1,5,7,7,11
98,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",ironman,Sarah Michelle Gellar  Lisa Kudrow Eliza Dushku,"Antoine Fuqua, Sofia Coppola, Paul Feig, Denis Villeneuve, Brett",Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,4,2,3,3,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,3,3,4,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,1,2,3,3,3,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,1,3,4,5,3,3,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,4,3,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2XM0NXWJSURRX,1,2,22,22,22
99,"['Mystery movies', 'Sci-fi movies', 'Action movies']",For a Few Dollars More,Lee Van Cleef,Spielberg,No,Blue Bot didn't recommend a movie.,1,2,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,1,5,4,5,5,5,"['Action', 'Mystery movies', 'Comedy movies', 'Drama movies']",A3QXFWX1PVH5MJ,1,10,12,7,13
100,"['Action movies', 'Horror movies', 'Drama movies']",Pirates of the caribbean.,Johnny depp.,Gore verbinski,No,Blue Bot didn't recommend a movie.,4,4,3,5,4,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,5,4,5,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,5,4,5,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,2,2,2,4,3,No,Red Bot didn't recommend a movie.,5,5,5,5,4,4,['Action'],AMELYCC59JKB0,1,3,22,22,22
101,"['Action movies', 'Comedy movies']","Little Women
",Scarlett Johansson,Jordan Peele,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,1,3,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,1,3,3,1,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,3,3,4,4,1,"['Action', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2615YW1YERQBO,1,22,7,14,17
102,"['Action movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",batman begins,denzel washington,chris nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,5,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,2,2,3,2,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,3,3,2,2,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,1,2,1,1,2,3,"['Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Sci-fi movies']",A2UO3QJZNC2VOE,1,8,9,5,22
103,"['Action movies', 'Drama movies', 'Documentary movies']",thor,tom,john,No,Blue Bot recommended a movie but it doesn't fit my personal preferences.,5,5,4,4,5,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,4,4,4,5,5,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,4,4,5,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,4,5,4,No,Red Bot recommended a movie and it fits my personal preferences.,5,5,4,5,3,5,"['Horror movies', 'Mystery movies', 'Comedy movies']",A1PAMVTKGCXSWQ,1,22,22,3,22
104,"['Comedy movies', 'Action movies', 'Horror movies', 'Drama movies', 'Sci-fi movies']",The Green Mile,Will Ferell,Quentin Tarantino,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,3,2,2,2,2,"['Action', 'Horror movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",ARYL3C6N9SVV1,1,9,8,11,13
105,"['Comedy movies', 'Action movies', 'Sci-fi movies']",Akira,Christian Bale,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,5,3,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,3,4,3,No,Yellow Bot didn't recommend a movie.,2,2,1,1,2,4,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,5,4,4,2,2,3,No,Red Bot didn't recommend a movie.,2,2,3,2,4,3,['Action'],A2NO3OTBZYY43Z,5,13,4,6,22
106,"['Sci-fi movies', 'Drama movies']","Eternal Sunshine of the Spotless mind
Prestige
Sunshine
Trainspotting
Dr. Strangelove","Christian Bale
Ewan McGregor","Michel Gondry
Danny Boyle",Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,3,3,4,3,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,4,3,3,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,2,2,2,2,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,2,3,2,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,3,3,3,2,"['Drama movies', 'Sci-fi movies']",A8C3WNWRBWUXO,7,9,13,9,11
107,"['Action movies', 'Horror movies', 'Comedy movies', 'Sci-fi movies']",Cabin in the Woods,Sandra Bullock,Quentin Tarantino,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,1,1,1,1,1,5,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,1,1,1,2,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,1,1,1,1,1,1,"['Horror movies', 'Sci-fi movies', 'Action', 'Comedy movies']",A1V2H0UF94ATWY,9,20,21,4,11
108,"['Action movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",Goodfellas,DeNiro,Spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,4,4,5,4,1,No,Cyan Bot didn't recommend a movie.,1,1,1,1,1,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,2,3,4,3,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,5,3,3,3,3,3,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,2,4,4,5,2,"['Comedy movies', 'Documentary movies', 'Action', 'Drama movies']",A2615YW1YERQBO,6,3,7,6,12
109,"['Action movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies', 'Mystery movies']",Interstellar,Matt Damon,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,4,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,4,4,3,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,4,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,3,3,5,2,"['Action', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A272X64FOZFYLB,8,15,16,11,8
110,['Action movies'],Kingsman,Rachel McAdams,John Krasinski,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,4,4,3,3,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,4,3,4,2,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,4,3,3,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,1,2,3,4,1,"['Action', 'Mystery movies']",A263Y9ZPYSSTB9,6,10,7,6,10
