,bot,human
1234,"i was a big fan of the original as well.i really liked kurt russell as the bad guy.i do prefer her as the lead, and her asylum scene is terrifying.what other actors do you like?",I dont think Ive seen the original. I dont follow actors too much but Ive enjoyed Tom Hanks work often.
1235,"yes! have you seen the entirety of his classic film ""grandmas boy?""",No
1236,"yeah, i saw that one a while ago. it was weird for me seeing him as himself.",Really?
1237,"yes i definitely would have been weirder if he had played himself lol.the original is so good and the remake was ok, i dont think it really did the original any justice,definitely give it a watch though, especially the original in hd! have you seen birds of prey?",Yes
1238,yes i saw that one too!,It was definitely fun!
1239,"it is so scary that its in the same franchise as ""a quiet place"" and ""bird box"". so be prepared!",Cool. So which one should I watch?
1240,i would personally watch a quiet place first. if you love that you might as well watch the others in the series,All right I will.
1241,oh wow okay! thats good to hear!,accept
1242,TASK COMPLETE,
1243,,
1244,A33DJF06UZXG3Y,
1245,hello.,"hi, hows it going?"
1246,"fine, what about you",fine. can you help me?
1247,"im good. are you familiar with the phrase, ""trust but verify""?","not exactly, but I do live by that principle"
1248,do you follow it?,"yes, I definitely follow it "
1249,"it is a great philosophy, and its easy to follow if you have an ethical philosophy","thats true. why do you bring this up, exactly?"
1250,"i just do, i suppose i do it because it has been around for awhile and i believe its right.",oh ok. thats understandable.
1251,"actually i was thinking about the quote, ""trust, but verify"", that means to not just take someones word at face value. because when it comes to something like this, a few thousand people online and in public, everyone has a opinion. so i thought it was very important to see the actual accusers evidence.","youre right, but I dont know the context of what youre talking about in the first place"
1252,exactly.  its just a way to stay skeptical of the medias coverage of events.,"um, ok. "
1253,"so, do you think you would like to watch the vid?","I guess, but I dont even know what its about exactly"
1254,"no, i dont think i would. thats a great way to stay in the dark, and not learn anything from it. not about that life, brother.","whatever, ok."
1255,did you watch it yet?,"no, I need the link."
1256,did you see the teaser?,"give it to me,."
1257,it was just the preview of one of the song in the mv.,you didnt send anything.
1258,"i was wondering if you would like to watch the trailer, sorry, didnt mean to waste your time.","yes, I would like to watch it."
1259,"its fine, i am glad that you like the trailer!",???
1260,are you sure that you would like to watch the trailer?,yes
1261,"yea sure ,great .lets see",[accept]
1262,TASK COMPLETE,
1263,,
1264,A8C3WNWRBWUXO,
1265,hello!,"hi, how are you"
1266,i am fine,i am looking to watch a good movie
1267,great what kind of movies are you into?,"comedy, action"
1268,horror,no
1269,i am pretty much into any movie,whats new out thats highly rated right now
1270,"hi! im into action and thrillers, since i like competition and sports. you?",me too. got any good recommendations
1271,have you ever watched avengers: endgame?,seen it already
1272,have you ever seen the transformers movies?,not interested
1273,"no, havent seen that movie, is it out already?",give me adult movies
1274,"well it is no like the others,its more like an upcoming than an oldie so you can give it a try.",what movie are you talking about
1275,the avengers endgame its very interesting i would recommend it,what other suggestions do you have
1276,"marvels: endgame, starring the actor for will smith",what else
1277,"avengers endgame, starring will smith.it is a movie set in the near future where tony stark,avenger, and others face a new threat.it is very exciting movie for everyone.",thanks
1278,got it,quit
1279,TASK COMPLETE,
1280,,
1281,A1ROEDVMTO9Y3X,
1282,hello,hi
1283,do you like action movies?,they are ok
1284,yes i do,what
1285,who are some of your favorite actors?,"Robin Williams, Tom Hanks"
1286,"oh yes, he is one of my favorite actors.",great
1287,"you should check out ""once upon a time in hollywood""",ok I will accept
1288,"ok,i am going to send the link",thanks
1289,"yea you are welcome,i hope you like it",accept
1290,TASK COMPLETE,
1291,,
1292,A3NN2AK1DFDNDU,
1293,"hello, i am here to help you find a movie trailer",Great!\
1294,what kinds of movies are you into?,Mystery movies
1295,"mysteries, sci-fi, superhero movies!",Lets go with Sci-Fi
1296,"hello, thats great. im a big fan of science-fiction as well! what was the last movie you watched?",The matrix
1297,matrix was great. one of my favorites.,Any suggestions?
1298,"the matrix! that was great! i loved that one too. i think i would have to say that there isnt anything thats quite like that one.what kind of movies are you interested in?fantasy, science-fiction, drama, comedy?",Sci-Fi!
1299,oh cool! i would recommend both independence day movies. one is a little more comedic though.,Accept
1300,thats great. i hope that you enjoyed the recommendations.,Cool!
1301,got it,quit
1302,TASK COMPLETE,
1303,,
1304,ASVRLMDNQBUD9,
1305,"hello, how are you doing today?","Im ok thanks, how are you?"
1306,i am doing well,Great.
1307,great! i am here to help you look for a movie trailer,Is there anything good in the Fantasy genre?
1308,i think the new harry potter movie comes out this year,What new Harry Potter movie?
1309,"i am not sure which movie you are asking about, but if you are talking about harry potter, the 7th movie is coming out in a couple of months.",Can you tell me about it?
1310,harry potter and the chamber of secrets part 1 and 2!,Whos acting in it?
1311,ummm..lumiere is in it.i think chamber of secrets part 1 and 2 stars liz gettler.,"Sounds nice, I would like to see it."
1312,"yep, thats the one. it comes out in 3 months, i believe.",Is there a trailer?
1313,"yes, there is.",Do you have a link to the trailer?
1314,"it is amazing that, with so many harry potter related movies, i have never seen any of them.","Really, why?"
1315,i dont know why. i have seen all of them! and i hope you enjoy them too.,ok thanks
1316,because they are childrens movies?,quit
1317,TASK COMPLETE,
1318,,
1319,A2QZU6VOIL30J3,
1320,"hi, how are you?",im good thanks
1321,good thanks. tell me a little about yourself,i love watching movies
1322,i love movies too!,have you seen any good ones recently
1323,"yes i have, i really liked a beautiful day in the neighborhood",i havent seen that one 
1324,thats a great movie. have you ever seen any of the newer marvel movies?,yes ive seen them all
1325,awesome! would you like to watch the trailer for captain marvel?,yes i love that film
1326,how do you feel about the new spiderman?,i havent seen it just yet
1327,"i loved it, i thought it was way better than the last spiderman",i will have to watch it
1328,"it was definitely better than the last spiderman, i loved the scene with black panther.",is there anyfilm you could recommend to watch tonight
1329,"captain marvel was great, very well done. if you like superhero movies, i think you would enjoy the next captain marvel trailer.",ok
1330,i think i can help with that.,go on then
1331,"i think you would like punisher: chapter two, it came out recently and it is very violent but fun",i will watch that tonight
1332,"yeah, it is a great movie",[accept]
1333,TASK COMPLETE,
1334,,
1335,A10249252O9I20MRSOBVF,
1336,hello,hello
1337,what are you looking for?,A comedy movie.
1338,what type of comedies are you into?,romantic 
1339,what is the latest movie youve seen,Love and Monsters 
1340,love and monsters,yes
1341,have you seen gemini man?,no
1342,would you like a comedy trailer?,yes
1343,what did you like about gemini man?,I never saw it 
1344,it is an indian language comedy,I do not know 
1345,"you should watch it,its a funny romance comedy movie",quit
1346,TASK COMPLETE,
1347,,
1348,A2XM0NXWJSURRX,
1349,hello! i am kari!,hi
1350,"hi kari, i am alice.",i am nick
1351,hi nick. what kind of movies are you into?,action
1352,i like drama and comedy. action is great,thats great
1353,have you seen mib? its a drama with a lot of action,yeah
1354,i havent seen it but i hear a lot about it,oaky
1355,"i havent seen it, but id like to. have you seen the john wick movies?",thats very cool movie
1356,i have not seen the john wick movies. i am trying to expand my movie choices. the last movie i saw was joker,yes
1357,hes so good! what did you like about him?,mm
1358,he is very likable and very good at his job. he makes movies very exciting to watch.,oh yeah
1359,he is also very handsome to look at.,mm
1360,he really is! what did you like from the joker films?,yeah really super movie
1361,i liked joker.,i also
1362,joker movies?,yeah
1363,joker movies were a good showcase for mmhe. i enjoyed joker i,mm
1364,did you like chappie?,no
1365,"jokers was also good. i havent seen chappie yet, but i heard it is good.",mm
1366,oh yeah its great.i love a good chappie story.,mm
1367,joker is very unique.it was entertaining and engaging.,yes
1368,thats good.i think you would enjoy this movie.its a story about a major crime that is committed and the people involved trying to solve the case.,yeah
1369,i heard the sequel to chappie is coming out soon.,mm
1370,Task Finished!,
1371,,
1372,A3QXFWX1PVH5MJ,
1373,hello,Hello
1374,how are you?,Good how are you?
1375,i am great!,Good! 
1376,do you know what movie trailer you would like to see?,the best one you have
1377,what movies do you like?,Alot mostly action or adventure
1378,i like scifi. it shows the future.,Oh i do alos i like fringe alot has my favorite actor Joshua Jackson
1379,oh awesome! i just love joshua jackson. i think he is an amazing actor,Hes is. Do you know any other movies hes in?
1380,"yes, he was in back to the future!",I dont think he was... But he is in shutter.
1381,he was in the irishman! thats a good one as well.,"Hmmm, maybe"
1382,he also was in john wick 3 and an alien invasion movie called dr. strange. he is an amazing actor.,I think you are confused he wasnt in any of those movies
1383,i believe he was in the most recent mission impossible movie.,Whats a good recoomendation based on my move prfiances
1384,watch unbreakable. its an amazing movie and he is in it!,accept
1385,TASK COMPLETE,
1386,,
1387,AMELYCC59JKB0,
1388,hi! how are you doing?,"hi, I am working"
1389,"im well, thank you. what do you do for work?",manager
1390,what type of work is your managers doing,yes
1391,im currently unemployed.,employed
1392,oh i see.so are you looking for a new job?,no
1393,what kind of job are you looking for ?,stop
1394,i am currently working for a marketing agency,ok
1395,what kind of job are you looking for?,nothing
1396,oh okay. have you tried applying to a job at a movie theater? its a good job and they really appreciate the work you put into your interview!,"ok,bye"
1397,thank you very much. i hope you will find a job that you enjoy.,bye
1398,good bye!,mmm
1399,what other kinds of jobs do you enjoy?,enough
1400,sorry for that. what do you think about travel?,"yes, good"
1401,"travelling sounds great, how long would you like to visit various locations before you say youve seen it all?",yes
1402,what other locations do you like?,nature place
1403,i like many types of places! are you looking for a list of places to visit or something similar to this example?,"park,falls"
1404,"hmmm, do you also enjoy street view?",ok
1405,i think a long time lol... thats a good question ive never really thought of that but i like that idea.,mm
1406,"yeah, it is pretty cool. what kind of jobs do you like?",system works.
1407,"i prefer IT work, what about you?",yes i want this type of work.
1408,i like a lot of different jobs as long as they are interesting.how do you feel about computer programming?,it is very very comfortable to me. I have a better programming knowledge.
1409,Task Finished!,
1410,,
1411,A2615YW1YERQBO,
1412,hello! how are you doing today?,I am well. How are you?
1413,i am well too.,Excellent.
1414,great. thank you,So.. whats good in the world of movies?
1415,"i like action movies, what kind of movies do you like?",I like them all but action movies are fun
1416,"i like action movies, but horror is my favorite.",Well.. I take it back. I dont like horror movies. Too much unnecessary gore.
1417,"me neither! i like action movies that are funny, witty, and not full of unnecessary gore.",What funny movie do you recommend?
1418,have you seen the joker? its an amazing movie.,"Yes, I have seen it. I saw it opening night. It was amazing."
1419,"how about the newly added snatch? its got a great cast, witty dialogue, and an excellent mix of action and comedy.",I dont know that one. Whats it about?
1420,"about a group of people who attempt to rob a record store. things go bad and its left up to the clown and his wife to protect it from a ruthless joker. and yes, the dialogue is hilarious. it stars henry rollins. i would highly recommend it! it was nominated for 13 oscars!",OOO I like Henry Rollins! I think I might. Thanks! Accept.
1421,thanks so much! have you heard of eddie izzard before?,"Yes, I have watched Eddie Izzard for many years."
1422,izzard is my favorite actors!! have you seen sherlock holmes 2?? its amazing,Yes it was good!
1423,i havent yet. i need to watch it. sherlock holmes 3 came out in 2019 and it looks amazing!,I havent seen that one yet
1424,yes that was a great movie!! i highly recommend it!,Accept
1425,have you ever watched the joker??,Yes. I saw it opening night
1426,so you watched the new joker movie!! it is one of my favorite movies!! i definitely recommend watching it!!,I recommend it for sure. 
1427,it is one of the best movies ever!!! i just saw it last week!! cant wait for part 3!!!!,[quit]
1428,TASK COMPLETE,
1429,,
1430,A2UO3QJZNC2VOE,
1431,hello! im here to help you choose a movie trailer.,Okay
1432,what are some of your favorite movies,I like superhero movies
1433,superhero movies are the best,Yes they are
1434,i love superhero movies. have you seen any in recent years?,I have seen all of the marvel ones
1435,yeah ive seen some of them too.  which ones were you favorite?,I like winter soldier the most
1436,my favorite was captain america winter soldier in which winter soldier fights his way out of the worlds most deadly prison.,Thats not what that movie is about
1437,yup its pretty crazy in how it just shows the title and then shows a scene from the movie. thats what happened with that movie and then i liked it a lot.,Thats every movie though
1438,i didnt see that one. ill have to check it out.,I guess so
1439,i know i seen that one too.,I didnt mention a movie though
1440,what about the lord of the rings trilogy?,I love those movies
1441,yeah i liked that movie too!,They were great
1442,oh yeah me too.,I wished they made more of those
1443,no idea about a new movie just yet.since it is just few months until the sequel for it comes out,I do not think it does
1444,yeah i think they just released a trailer for it,No they did not
1445,its like the sequel of the hobbit,That was a few years ago
1446,why is that ?did you not like the acting,Its an older movie now
1447,got it,yeah
1448,no not at all,I am not sure what else to say
1449,"i do not mind the actors in the new movies, but the special effects and storytelling was a bit off in my opinion.",They were okay I guess
1450,the special effects and storytelling is a little off but it seems a good movie,It was an okay movie
1451,alright i get it. i understand your points completely. well hope you have a great day.,you too
1452,Task Finished!,
1453,,
1454,A1PAMVTKGCXSWQ,
1455,"hello, my name is princessa, i am here to help you",yes
1456,what kind of films do you enjoy?,comedies
1457,i love comedies! do you like movies like superbad?,super
1458,i dont really like mondern comedies,dont like
1459,i dont like superbad either,good
1460,what is your favorite comedy?,jolly
1461,do you like amy schumer?,very experienced
1462,"i like her, do you like aziz ansari?",like
1463,like? ive loved his career since it began in 2013,very loved
1464,i prefer all american rejects to amy schumer,no
1465,"hey princessa, i think we would get along well.",good
1466,"okay, that sounds good. do you have any questions for me?",no
1467,"my favorite movies are romantic comedies, what kind do you like",no i am not like
1468,i like the kind with superb actors,good
1469,"okay,what is the latest romantic comedy you have watched and liked?",yes i have watched
1470,the new emma came out in 2016,yes
1471,oh thats great! what did you like about the new movie?,drama
1472,its fun and exciting i like all the actors and directors,very experience
1473,the movie was good!,yes
1474,i loved the storyline,yes i am also
1475,ok i can watch it for you,okay
1476,Task Finished!,
1477,,
1478,ARYL3C6N9SVV1,
1479,"hi, how are you today?",Doing good thanks
1480,"i am doing great, thank you for asking. what types of movies do you like?","I like comedy and drama, what you got?"
1481,i like comedy and drama.,"I like Quentin Tarantino movies, what can you recommend?"
1482,have you seen angelina jolie in charge?,No I havent. Whats it about?
1483,"a movie about roseanne barr, its a little bit romantic, a lot dark.",I dont like Barr what else can you recommend?
1484,have you ever seen it ?,"No, but anything with Roseanne Barr is definitely a NO!"
1485,so you dont like roseanne barr?,"Nope, I do not!"
1486,got it,what else can you recommend?
1487,i do recommend angelina jolie in charge its a good movie and very action packed,"I like Angelina, shes hot."
1488,"yes, it is really a good movie! have you ever seen independence day?","No, I havent whos in it?"
1489,is there anything else i can help you with?,What other movie can you recommend?
1490,"okay, another action movie that just came out recently is home alone 2!",accept
1491,TASK COMPLETE,
1492,,
1493,A2NO3OTBZYY43Z,
1494,hello how are you?,"Im good, how about you"
1495,i am doing well!,So whats going on?
1496,im here to help you get into a movie!,"Cool, I like animated, action and comedies"
1497,oh thats good! do you know what kind of movies you would like to see made?,I like action and comedy
1498,what was the last movie you saw and did you like it?,the last movie I saw was star wars rise of skywalker. I thought it was Okay
1499,i thought it was okay as well. do you like super hero movies?,"yeah, I usually do"
1500,how was the rest of the movie?,which movie?
1501,"it was doctor strange.i liked the movie,especially the superhero action","yeah, I liked that movie too"
1502,have you ever heard of john wick 3?,"I have, I thought it was good"
1503,it is very good. it makes a great trilogy that keeps the same theme throughout,"I agree, very good trilogy"
1504,so you like john wick 3?,I do
1505,i like john wick 3 as well. it was very good.,Thats cool. do you have any other recommendations
1506,yes i like john wick 3 as well,I did too
1507,yes i agree.i would recommend you majestic 10 if you like mafia movies.,I dont really like mafia movies. Do you have any other recommendations?
1508,"yes, there is the upcoming movie kingsman: the secret service, looks really good",I would like to watch that
1509,yeah it looks good i would recommend that one as well,Do you recommend anything that I could watch now?
1510,"yes, the new captain marvel trailer is great and i would recommend that too.",I dont like trailers
1511,have you ever seen elf? it was my favorite when i was younger,"Yes, its a great movie at this time of the year"
1512,have you ever seen the movie oldboy?,I have not
1513,i have it is a good movie to watch at this time of year,okay
1514,i have not seen that movie.,its not a movie
1515,Task Finished!,
1516,,
1517,A8C3WNWRBWUXO,
1518,hello.,Good evening.
1519,what type of movies do you enjoy?,Drama and science fiction.
1520,movies that has nudity,In the right context.
1521,i like sci-fi movies a lot!,What would you recommend?
1522,starwars and starwars:the rise of skywalker.i recommend it,Its a little juvenile for me.
1523,what are some of your favorite movie genres?,"Drama, with a twist at the end."
1524,i really like sci-fi and drama. i just recently watched star wars:rogue one which had a very emotional ending.,"I did like Rogue One, it was more grittuy"
1525,starwars is one of my favorite movies too!the plot is amazing!i also like starwars:bloodline.,Tell me about Bloodline.
1526,bloodline is a true story about hillary clinton and a brother of an alleged assassinated president,Interesting?
1527,yeah its very good,accept
1528,TASK COMPLETE,
1529,,
1530,A1V2H0UF94ATWY,
1531,hello.,Hi there. 
1532,how are you today?,Good. How are you?
1533,im doing great!,What kind of movies do you like?
1534,i like sci-fi movies a lot.,Me too!
1535,oh thats great! what is your favorite movie?,Cabin in the Woods
1536,i love that movie! have you seen any other steven king movies?,"That’s not a Stephen King film, but I like The Mist. "
1537,i like steven king movies too. have you seen the shining? thats my favorite movie.,Yes. That one is a classic. 
1538,okay i hope you like the trailer for that one.,That comment doesn’t make sense. 
1539,how? i like sci-fi and the mist is a good movie.,"That’s great, but why does it matter if I like the trailer?"
1540,oh sorry i thought you said you liked horror movies,[quit]
1541,TASK COMPLETE,
1542,,
1543,A2615YW1YERQBO,
1544,"hello, i am here to help you looking for a movie trailer",I dont like trailers much
1545,what is your favorite genre?,"Drama, I guess. Or, maybe gangster movies"
1546,gangster movies are my favorite. i like drama but am looking for something light,Have you ever seen Goodfellas?
1547,no i havent,Its a classic
1548,i have not. what is it about,Its a real-lfe story about a gu that grew up in a criminal gang area as a kid and then it proceeds to follow this man as he makes his way through life as a Mafia thug
1549,goodfellas is a classic.and it will leave you speechless.,sounds like a IMDB quote
1550,its about a mafia hitman that hooks up his family and his best friends to get back at those who took what is rightfully his from him. it has an interesting storyline that keeps you on the edge of your seat and keeps your attention,wow
1551,"sounds intriguing, i cant wait to watch it",haha lol
1552,sounds amazing. definitely have to watch it,sure. you do that
1553,"the plot looks crazy and the acting is very good, the second one is even better",second what?
1554,the plot looks crazy? its one of the best mysteries out there,[quit]
1555,TASK COMPLETE,
1556,,
1557,A272X64FOZFYLB,
1558,hi! im here to help you find a movie trailer.,Hi there! How are you today?
1559,I am fantastic. what are some of your favorite movies?,"I love the movie ""The Dark Knight"" directed by Christopher Nolan. Its one of my favorite action films."
1560,i am also a big fan of that movie.,Could you recommend a movie to me that is similar to that one and others like it?
1561,"yes, i can. it is also a very good movie. did you know that ben affleck, amy adams and bruce willis won a gold medal for physical impossibilities. have you seen ""bruce almighty?"" it is a really good movie too.",That sounds great with actors I know. Can you tell me more about it?
1562,"its a little bit like the terminator, except with bruce willis. its about bruce willis and his son bruce visiting james cameron, who is being re-educated in the aftermath of the explosion at new york city, who finds a super hero in his sons body, who becomes james camerons best friend in a world he doesnt want to live in.",That movie sounds like an exciting ride. Id love to see it. Thank you for telling me about it.
1563,thank you,Have a great week!
1564,you too!,[accept]
1565,TASK COMPLETE,
1566,,
1567,A263Y9ZPYSSTB9,
1568,"hello, i am here to help you look for a movie trailer.",Hello RedBot
1569,what type of movies do you like?,I like thriller movies
1570,any actors in particular?,John Krasinski
1571,"hi there, john krasinski is a good actor in my opinion.",I like the movie A Quiet Place
1572,john krasinski is definitely a great actor.,yes
1573,"i have not seen that movie, what was it about?",It is about an abandoned place where monster will kill you if they hear sounds. The family had to live their lives really quietly to survive
1574,"it is an engaging thriller about a guy who gets into trouble while traveling to phoenix, arizona.",What movie is that?
1575,john krasinski plays a doctor who loves to tell a story about a boy who is a little bit different and is mistaken for a girl.it is a thriller about a murder.,What is the title of the movie?
1576,its called deuce with kevin hart and it was great.,accept
1577,TASK COMPLETE,
1578,,
