,bot,human
1271,i enjoy comedy,good to hear 
1272,bad boys for life is such a great movie,It really is I may watch it again.
1273,it really is,accept
1274,"TASK COMPLETE, Thanks for chatting with me!",
1275,,
1276,A2XM0NXWJSURRX,
1277,"hello, how are you doing?",hi
1278,i am here to help you looking for a movie trailer.,yeah i like trailer movie
1279,what is your favorite kind of movie?,john wick
1280,those are good movies. my kids love those.,mm
1281,how old are your kids?,15
1282,they are the same age.,mm
1283,do you like action movies?,yes
1284,oh nice. well would you like to watch this movie trailer?,yeah
1285,do you want to watch the trailer or you do not want to see it?,mm
1286,so you are looking to watch this movie trailer?,yes
1287,that is great.,mm
1288,okay sounds good. i would recommend it,yeah
1289,what is the last movie you watched?,mm
1290,nice to know that. do you want to watch another one?,mm
1291,"yes, you should watch it",mm
1292,i would recommend to watch it with a friend. do you want to watch another movie with me?,mm
1293,"okay, sounds like a plan. have a nice evening.",yes
1294,you too. im glad to help you with your next choice of movie.,yeah
1295,do you have any specific movies you prefer?,mm
1296,im happy to help you find a great movie. what type of movies do you like?,mm
1297,do you prefer recent movies or older movies?,mm
1298,Task Finished!,
1299,,
1300,A3QXFWX1PVH5MJ,
1301,hello,Heloo how are you?
1302,i am well. how about you?,Good. 
1303,what kind of movies do you like?,adventure 
1304,onward looks interesting. how old are you?,29 but onward is a GREAT movie i was impressed when i watched it wirh my children 
1305,so did you like the movie more for the story or the graphics or what?,Both. 
1306,is there anything you didnt like about the movie?,Nope. 
1307,what about the movie did you like and what did you dislike?,I like the stoty it was nice and imaginative very good for children dealing with death
1308,what is your favorite childrens book?,Sam I am by Dr.Suess
1309,"OK, how about Like a Boss?",Have not seen it yet
1310,ok let me get that going,Okay
1311,Would you prefer to watch Bad Boys for Life?,accept
1312,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1313,,
1314,AMELYCC59JKB0,
1315,hello how are you?,i am fine
1316,what type of movies do you like to watch?,adventures
1317,any recent movies youve watched?,avengers
1318,do you like the marvel movies?,yes
1319,I am recommending Like a Boss.,sooper
1320,thats a good movie,yes it is excellent.
1321,Have you seen Bad Boys for Life?,no
1322,it is so good. would you like to see the trailer?,yes
1323,okay i will have it to you in a minute.,ok
1324,great.,thank you
1325,what is your favorite genre?,action
1326,ok this will be good,yeah
1327,ok thank you,thank you
1328,"okay, would you like to see this movie trailer?",no
1329,ok thank you,yeah
1330,youre welcome.,fine
1331,what movie do you want to watch?,avathar
1332,ok cool,ok
1333,I would like to recommend Onward.,yes
1334,oh wait i think you said you watched avatar,yes
1335,I am recommending The Kings Man.,ok
1336,Task Finished!,
1337,,
1338,A2615YW1YERQBO,
1339,hello there,Good afternoon!
1340,good afternoon,Seen any good movies lately?
1341,I would recommend Like a Boss.,Whats it about?
1342,it is about a man who falls in love with a woman and marries her.,Is it just a romance flick? 
1343,"no, it is not just a romance flick. it is really sad.",im not really in the mood for depressing movies. anything exciting?
1344,nothing exciting. im sorry.,[quit]
1345,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1346,,
1347,A2UO3QJZNC2VOE,
1348,hello! how are you doing today?,I am fine
1349,great! me too! what kinds of movies do you like?,I am looking for a strong suspense movie
1350,what was the last suspense movie that you watched?,Rebecca
1351,i remember seeing that on the tv! it was really good!,Yes it was.I want to whatc a movie like that one
1352,Would you prefer to watch Like a Boss?,Yes
1353,"awesome, the trailer is on youtube.",thanks.I will check it out
1354,any time!,bye
1355,"ok, have a great day.",accept
1356,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1357,,
1358,A1PAMVTKGCXSWQ,
1359,hello,hello
1360,what movie did you like watching last night?,yes liked
1361,what type of movies do you like to watch?,comedy
1362,like a boss movies?,yes
1363,i would recommend like a boss movies. its a comedy that came out in 2011 and is hilarious.,yes recommend
1364,like a boss is a sequel to the fifth element. its my favorite of the series.,yes favourite series
1365,how about the director?,john
1366,"john williams, he is an incredible director.",no
1367,"ok, have you watched the trailer?",yes
1368,ok thats great.,okay
1369,thats great!,great
1370,ok great chat!,thankyou
1371,no problem. hope you enjoy the trailer!,yes enjoy
1372,what else do you like?,very liked
1373,awesome! did you see the last movie i recommended?,recommend
1374,"great recommendation, thank you!",great thankyou
1375,"perfect, have a good evening!",great job
1376,have a great day!,very great
1377,"great, thank you",thankyouy
1378,thank you very much,bye
1379,good bye,goodbye
1380,Task Finished!,
1381,,
1382,ARYL3C6N9SVV1,
1383,"hello, how are you?",What up yellow?
1384,whats up my friend. so you are looking for a movie?,"Yep, what can you recommend?"
1385,what have you watched lately?,"The Election, its a comedy with Will Ferell"
1386,"ok, i have not seen that.","I like Quentin Tarantino, what you got?"
1387,I would recommend Like a Boss.,"Cool, who stars in it?"
1388,"dj booth, it has will ferrell",Awesome what is the story about?
1389,it is a classic but hard to watch at times. but great,accept
1390,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1391,,
1392,A2NO3OTBZYY43Z,
1393,"hello, i am here to help you looking for a movie trailer.",Can you find a trailer for some Action  movies names
1394,watch action movies in theaters.,But which one?
1395,"hello, i am here to help you looking for a movie trailer.",[quit]
1396,"TASK COMPLETE, Thanks for chatting with me!",
1397,,
1398,A8C3WNWRBWUXO,
1399,hello! i am here to help recommend a movie for you!,"Sounds good, what have you got."
1400,i will give you some great options.,"Excellent, just not Bloodshot."
1401,how about the movie max?,"I have not heard of that, what is it about?"
1402,its a great movie. it is a realistic story about how people are affected by the movie.,"A movie about how people are affected by the movie, sounds convoluted.  Might be interesting."
1403,"OK, how about Like a Boss?","That new to me too, who is in it?"
1404,lol,"What is Like a Boss, what actors are in it?"
1405,ok how about the movie like a boss with sean connery and james bond.,That doesnt sound right.
1406,"oh, what other movies do you like?",I likes that science fiction movie called Sunshine.
1407,got it. would you like to watch the new mutants trailer?,That really is not to my taste.
1408,well have you seen the other films,Can you recommend something similar to The Prestige?
1409,have you watched the trailer for star wars: the rise of skywalker,"I have, and I saw the movie"
1410,I would recommend Bloodshot.,accept
1411,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1412,,
1413,A1V2H0UF94ATWY,
1414,"hello, how are you?",Good. How are you?
1415,good to hear. i am doing good.,What kind of movies do you like?
1416,i like all movies!,Great! Any recommendations?
1417,do you like new or old movies?,Both. 
1418,good to hear.,OK. 
1419,do you like theatrical or extended version of movies?,Theatrical. 
1420,"ok, so you dont like long run-time movies like 10 hours ?",No. 
1421,how about less than 3 hours?,Yes. 
1422,"ok, that is perfect.",Do you have any recommendations?
1423,I am recommending Like a Boss.,I’ve seen that. Great movie!
1424,what is your current favorite movie?,Cabin in the Woods. 
1425,I am recommending Bad Boys for Life.,OK. I’ve seen that one and it was fun. 
1426,ok. great!,Any other recommendations?
1427,I am recommending Onward.,"Thanks, but that’s not a movie I’m interested in. Anything in the horror genre?"
1428,the crow,I’ve seen that. It’s a classic. 
1429,did you like the ending?,Yes. 
1430,excellent! i would recommend the crow or the scream series then.,I’ve seen both. Anything more current?
1431,I would recommend The Kings Man.,"That’s a great movie, but not a horror film"
1432,its not?,No. It’s an action/comedy film. 
1433,i think it would be a great comedy to watch before the new movie!,[quit]
1434,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/5aq0o2C6LVE Thanks for chatting with me!",
1435,,
1436,A2615YW1YERQBO,
1437,hello! how are you?,hi there
1438,do you like movies?,"Yes, in fact, I surely do!"
1439,awesome! what was the last movie that you watched?,"I think it ""The Taking of Pelham 123"""
1440,yes! that movie was really great!,I though it ws all right
1441,you are probably right.,"surely. Yeah, I like crime dramas, especially if it is well-written and conceived"
1442,I would recommend Bloodshot.,[accept]
1443,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1444,,
1445,A272X64FOZFYLB,
1446,hello how are you?,"Hi, its nice to talk to you. Im feeling wonderful."
1447,how is that possible?,I am great and I hope you are too.
1448,"i am, thank you. what kind of movies do you like?",My personal favorite movies are action and sci-fi. I love Interstellar and Inception.
1449,max steel is great! one of the best!,I love Mad Max: Fury Road. Have you seen it?
1450,yes i have! it is an action film. great plot,Do you have any films you highly praise and could tell me about?
1451,Have you seen Avengers: Endgame?,"Yes, I saw that before."
1452,that was my favorite movie. have you seen infinity war?,For sure I have. I love the Marvel movies. What other movies could you tell me about?
1453,Have you seen Like a Boss?,Not yet - what is great about it?
1454,like a boss,What is it about? Who are the actors?
1455,"there is a different type of story at play, it is more about politics than superheros.",I will read some reviews. It sounds like I might like it.
1456,have you seen the first or second in the series?,I havent seen any.
1457,have you seen any of the other xmen films?,"Yes, ""Logan"" is one of my favorites."
1458,i would recommend checking out the previous ones if you havent already,I have! It never hurts to rewatch them though.
1459,its definitely worth it. xmen films have been very successful.,Thanks for your kind recommendations today.
1460,youre welcome! enjoy the movie,[accept]
1461,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1462,,
1463,A263Y9ZPYSSTB9,
1464,"hello, i am here to help you find a movie trailer.",I like action and thriller movies
1465,have you seen bad boys for life,"no, what is it about?"
1466,bad boys for life is about a younger kid who was very good at stealing cars.,who is the main actor
1467,ryan reynolds and joseph gordon levitt.,"oh cool, i like ryan reynolds. "
1468,how about underwater,bad boys for life sounds good
1469,i highly recommend it.,accept
1470,"TASK COMPLETE, Thanks for chatting with me!",
1471,,
